vehicle_make,vehicle_model,vehicle_year,vehicle_vin,vehicle_color,vehicle_price,vehicle_mileage,vehicle_condition,vehicle_transmission,vehicle_fuel_type,vehicle_body_style,vehicle_engine_size,vehicle_drivetrain,vehicle_features,Vehicle_ID,customer_id
Spyker,C8 Spyder,2004,WAU2GAFC5DN592738,Khaki,21069.04,97513,used,automatic,diesel,coupe,2.1,rear-wheel drive,heated seats, VEH-9500  , CUS-1165  
Isuzu,i-370,2007,SAJWA1CZ4E8806165,Crimson,44942.4,2718,new,automatic,diesel,sedan,3.5,all-wheel drive,sunroof, VEH-3550  , CUS-3551  
Lexus,ES,1995,1FAHP2DW3AG748720,Aquamarine,99413.42,75847,used,manual,gasoline,coupe,2.9,rear-wheel drive,sunroof, VEH-1170  , CUS-2631  
Honda,Fit,2010,1D7RV1GT3AS703179,Red,97021.34,11379,used,manual,electric,SUV,2.8,rear-wheel drive,leather seats, VEH-5121  , CUS-5806  
BMW,7 Series,2009,SCFFDABM3DG625334,Maroon,8297.59,165223,new,automatic,gasoline,sedan,2.2,rear-wheel drive,sunroof, VEH-9536  , CUS-6369  
Dodge,Caravan,2005,WBADS334X3G454941,Blue,92550.68,168254,new,automatic,diesel,coupe,3.3,rear-wheel drive,sunroof, VEH-3376  , CUS-2524  
Mitsubishi,Lancer Evolution,2008,JM1NC2LF4E0289478,Aquamarine,9061.85,112627,used,automatic,diesel,sedan,2.8,rear-wheel drive,navigation system, VEH-3900  , CUS-4021  
Toyota,Venza,2010,WBA3B1C51FK397118,Pink,58048.83,69605,new,automatic,electric,sedan,1.8,front-wheel drive,navigation system, VEH-2877  , CUS-3509  
Honda,Civic,1988,2FMGK5D85FB206954,Red,45224.22,116274,new,automatic,diesel,sedan,1.8,rear-wheel drive,sunroof, VEH-7442  , CUS-9045  
BMW,M6,2006,5GALVAED9AJ672717,Crimson,13802.86,188106,used,automatic,diesel,truck,3.8,all-wheel drive,sunroof, VEH-7180  , CUS-7691  
Ford,F250,1994,4T1BF1FK0FU579686,Yellow,90174.95,66531,new,automatic,electric,SUV,4.9,all-wheel drive,heated seats, VEH-9254  , CUS-1932  
Land Rover,Range Rover,2010,JHMZF1C64DS409638,Orange,97306.56,78464,certified pre-owned,manual,gasoline,coupe,3.7,rear-wheel drive,heated seats, VEH-7253  , CUS-7347  
Chevrolet,Camaro,1981,WAUSF98E67A971078,Teal,83769.1,192308,new,automatic,electric,truck,3,front-wheel drive,leather seats, VEH-1893  , CUS-4625  
Dodge,Ram Van B250,1993,5FRYD4H67EB497188,Khaki,44019.97,114120,new,manual,gasoline,truck,1.5,rear-wheel drive,navigation system, VEH-3576  , CUS-2421  
Ford,Courier,1986,1GKMCAE34AR078882,Teal,60729.07,199768,used,manual,diesel,truck,5.7,rear-wheel drive,leather seats, VEH-7560  , CUS-6062  
Dodge,Colt,1994,WDDJK7DA9FF373608,Indigo,26414.98,184448,certified pre-owned,manual,gasoline,coupe,5.3,all-wheel drive,navigation system, VEH-5042  , CUS-1753  
Pontiac,G6,2007,NM0KS9BN1DT626108,Puce,76910.65,115879,certified pre-owned,manual,diesel,coupe,1.1,rear-wheel drive,heated seats, VEH-5952  , CUS-9645  
BMW,M5,2007,1C4SDJCT2CC735493,Violet,43554.83,163806,used,manual,diesel,SUV,5.7,rear-wheel drive,navigation system, VEH-6186  , CUS-6994  
Mitsubishi,Eclipse,1998,NM0KS6ANXAT481341,Goldenrod,82312.17,174314,used,manual,electric,SUV,4.9,front-wheel drive,leather seats, VEH-1098  , CUS-6009  
Dodge,Neon,1997,2C3CDXBG9EH819794,Red,82988.73,67909,used,manual,electric,sedan,2.6,all-wheel drive,leather seats, VEH-5419  , CUS-3996  
Ford,Windstar,2003,WA1YD54B84N419877,Khaki,15264.12,119396,new,manual,diesel,SUV,5.2,front-wheel drive,sunroof, VEH-9856  , CUS-9610  
Volkswagen,Jetta,2004,5N1AR1NB3AC620458,Maroon,25194.28,76528,used,manual,gasoline,sedan,4.1,all-wheel drive,navigation system, VEH-5893  , CUS-9915  
Plymouth,Breeze,1998,1G4HP54K854040202,Yellow,30026.5,155854,certified pre-owned,automatic,diesel,coupe,5.9,front-wheel drive,sunroof, VEH-1842  , CUS-0885  
Pontiac,Bonneville,2004,5FRYD4H49GB834753,Goldenrod,38957.29,33051,new,automatic,gasoline,sedan,4,all-wheel drive,heated seats, VEH-9246  , CUS-0720  
Suzuki,Swift,1997,WVGAV3AX7DW820724,Mauv,41146.27,111477,certified pre-owned,automatic,gasoline,truck,2.2,rear-wheel drive,sunroof, VEH-9215  , CUS-0370  
Mazda,Mazdaspeed 3,2011,KM8JT3AF1FU206490,Goldenrod,44564.62,102806,certified pre-owned,automatic,diesel,truck,2.2,front-wheel drive,leather seats, VEH-2103  , CUS-7192  
Mercury,Sable,2009,1C3BC1FB8BN304802,Yellow,75220,136178,new,manual,gasoline,sedan,1.6,front-wheel drive,leather seats, VEH-6987  , CUS-9865  
Cadillac,Escalade EXT,2007,JHMZF1C48BS673764,Pink,88974.03,19492,certified pre-owned,automatic,gasoline,sedan,4.1,all-wheel drive,heated seats, VEH-6344  , CUS-0923  
Porsche,911,2011,19UUA9F21EA998707,Turquoise,36662.99,56390,certified pre-owned,automatic,gasoline,coupe,5.3,front-wheel drive,leather seats, VEH-1347  , CUS-0508  
GMC,Sierra 3500,2004,WA1VMBFE7CD076458,Mauv,34543.32,71882,used,manual,gasoline,truck,5.3,front-wheel drive,navigation system, VEH-0869  , CUS-7844  
Fillmore,Fillmore,1960,1G6AK5S33D0708822,Green,40859.68,52155,new,manual,gasoline,SUV,2.4,all-wheel drive,sunroof, VEH-8114  , CUS-9414  
Ferrari,458 Italia,2010,WAUVT68E35A100169,Goldenrod,74431.53,47093,certified pre-owned,automatic,gasoline,truck,4.3,all-wheel drive,sunroof, VEH-3980  , CUS-9570  
Jaguar,S-Type,2004,JTHBE1D29E5626750,Goldenrod,21180.7,15286,new,automatic,diesel,sedan,3.1,rear-wheel drive,sunroof, VEH-0698  , CUS-9719  
Volkswagen,GTI,1997,5XYKT3A12BG152805,Indigo,89528.66,584,certified pre-owned,manual,diesel,sedan,3.7,rear-wheel drive,leather seats, VEH-6644  , CUS-8435  
Ford,Expedition,2011,5N1BA0ND0FN675890,Green,43424.18,50980,used,automatic,electric,coupe,2.4,rear-wheel drive,leather seats, VEH-6780  , CUS-6289  
Mercury,Tracer,1993,JTEBU5JR5F5569800,Red,36067.31,54059,new,automatic,gasoline,coupe,3,all-wheel drive,sunroof, VEH-8033  , CUS-7955  
Buick,Rendezvous,2007,3N1BC1AP8AL097117,Violet,5552.97,168640,used,automatic,gasoline,coupe,1.5,all-wheel drive,navigation system, VEH-5385  , CUS-6771  
Chevrolet,Sportvan G20,1993,1G4GJ5G36CF471396,Turquoise,19639.97,186996,new,automatic,diesel,truck,3.8,rear-wheel drive,leather seats, VEH-8041  , CUS-0770  
Lamborghini,Gallardo,2011,JTDBT4K35A1179954,Khaki,78311.78,38537,used,manual,diesel,coupe,4.7,front-wheel drive,heated seats, VEH-5590  , CUS-7614  
Saab,5-Sep,1999,WBADT43411G377599,Teal,82393.43,53163,certified pre-owned,manual,diesel,coupe,1.1,all-wheel drive,navigation system, VEH-4658  , CUS-4232  
Volkswagen,Jetta,1991,WBAUL7C50CV882462,Purple,80216.39,8817,new,automatic,electric,coupe,3.9,rear-wheel drive,heated seats, VEH-3572  , CUS-2712  
Chevrolet,Corvette,1959,JH4DC43671S118454,Aquamarine,59860.39,64165,certified pre-owned,automatic,gasoline,sedan,4,rear-wheel drive,sunroof, VEH-7907  , CUS-3327  
Mercedes-Benz,W201,1993,JH4KB16517C261477,Purple,60059.9,32745,used,automatic,electric,SUV,5.6,all-wheel drive,leather seats, VEH-9244  , CUS-8745  
Volkswagen,Jetta,1986,1G6AB1R37F0356510,Goldenrod,36667.19,73281,new,automatic,diesel,SUV,4.5,front-wheel drive,heated seats, VEH-7483  , CUS-5831  
Suzuki,Grand Vitara,2003,2G4GZ5GV6B9816279,Indigo,32958.97,82677,certified pre-owned,automatic,diesel,SUV,3.9,rear-wheel drive,leather seats, VEH-1015  , CUS-7014  
Ford,Focus,2007,2LMHJ5AT1EB731192,Crimson,25825.58,8796,used,automatic,electric,SUV,1.7,all-wheel drive,leather seats, VEH-7961  , CUS-9877  
Audi,S4,2002,1GKS1EEF1CR082390,Crimson,53881.53,189069,certified pre-owned,automatic,diesel,coupe,3.2,all-wheel drive,navigation system, VEH-9587  , CUS-3093  
Chevrolet,Corsica,1992,JTHDU1EF0D5987649,Turquoise,53289.36,45807,new,manual,diesel,SUV,4.4,front-wheel drive,leather seats, VEH-4664  , CUS-3543  
Mercedes-Benz,W201,1984,WAUAF98E06A751137,Crimson,47560.98,57151,certified pre-owned,manual,electric,coupe,5.9,rear-wheel drive,heated seats, VEH-5342  , CUS-3752  
Chevrolet,Impala,2002,SAJWA4FC6EM628212,Violet,59913.43,2077,certified pre-owned,manual,electric,SUV,5.5,rear-wheel drive,leather seats, VEH-8775  , CUS-6163  
Dodge,Caravan,1994,3N1AB7AP3FL107559,Blue,91089.11,179595,certified pre-owned,automatic,electric,sedan,1.7,front-wheel drive,sunroof, VEH-2628  , CUS-0174  
Toyota,Celica,2001,SCFAB42392K057674,Violet,52385.77,140862,used,automatic,diesel,truck,1.7,all-wheel drive,heated seats, VEH-2156  , CUS-0171  
Toyota,Xtra,1994,1G6DK1ED3B0661766,Orange,92742.72,8811,certified pre-owned,manual,electric,coupe,5.3,all-wheel drive,sunroof, VEH-2988  , CUS-3356  
Mercury,Capri,1992,1GYUCCEF2AR860092,Fuscia,18062.13,100392,certified pre-owned,manual,electric,coupe,3.9,all-wheel drive,heated seats, VEH-9597  , CUS-7545  
Ford,F150,2011,3C4PDDAGXET473310,Goldenrod,47323.59,187108,certified pre-owned,automatic,electric,truck,5.4,all-wheel drive,sunroof, VEH-5874  , CUS-3713  
Mazda,MX-5,2003,WAUMGBFL3AA201958,Teal,58889.43,189901,certified pre-owned,manual,gasoline,sedan,4.2,front-wheel drive,navigation system, VEH-3445  , CUS-6491  
Chevrolet,Corvette,1958,5N1AL0MM5FC327067,Crimson,43795.14,169748,used,automatic,electric,sedan,1.4,front-wheel drive,leather seats, VEH-4179  , CUS-5986  
Mercedes-Benz,CL-Class,2001,SCBFT7ZA1DC854671,Turquoise,47614.1,132136,certified pre-owned,automatic,electric,sedan,1.8,rear-wheel drive,heated seats, VEH-2546  , CUS-6204  
Cadillac,Fleetwood,1992,WAURFAFR0DA594975,Green,12888.23,15882,used,manual,diesel,SUV,3.4,front-wheel drive,heated seats, VEH-2176  , CUS-7161  
Ford,Econoline E150,1996,JA32X2HU3BU141811,Mauv,21994.8,88872,used,automatic,gasoline,truck,4.3,front-wheel drive,leather seats, VEH-0219  , CUS-8716  
Ford,Ranger,2000,1FTEW1C81AK850802,Teal,70781.53,172851,certified pre-owned,manual,electric,truck,3.5,rear-wheel drive,heated seats, VEH-4013  , CUS-4974  
Honda,Prelude,2001,1N6AA0CJXDN341434,Orange,37635.81,47810,used,automatic,electric,SUV,1.2,rear-wheel drive,sunroof, VEH-6725  , CUS-7027  
Mazda,Mazda6,2007,TRUWX28N721854729,Aquamarine,62998.33,103712,certified pre-owned,manual,diesel,truck,2,rear-wheel drive,navigation system, VEH-5324  , CUS-3432  
Pontiac,Vibe,2007,1N6AF0LY0FN108096,Goldenrod,96925.72,161643,used,manual,diesel,sedan,5.8,rear-wheel drive,heated seats, VEH-3900  , CUS-8384  
Suzuki,Grand Vitara,2005,WAUML54B93N543692,Aquamarine,56964.63,68390,new,manual,gasoline,coupe,4.2,rear-wheel drive,sunroof, VEH-9495  , CUS-0569  
Ford,Fairlane,1967,1G4GE5GD5BF803713,Violet,81433.11,56761,new,manual,gasoline,SUV,4,all-wheel drive,sunroof, VEH-3657  , CUS-0396  
Porsche,944,1985,1GKS2GEJ0DR230706,Puce,46137.68,146343,new,manual,gasoline,sedan,1.9,all-wheel drive,sunroof, VEH-1738  , CUS-0766  
Mazda,MX-6,1997,2G4G15GV1B9163383,Crimson,23738.17,138063,new,manual,electric,SUV,3,front-wheel drive,leather seats, VEH-8702  , CUS-5216  
Toyota,T100,1996,YV1672MS3B2320797,Pink,17391.24,83851,certified pre-owned,automatic,gasoline,coupe,3.7,front-wheel drive,heated seats, VEH-2063  , CUS-6647  
Lexus,GX,2012,1HGCP2E78CA887440,Red,75007.05,83778,new,automatic,diesel,coupe,3.9,front-wheel drive,heated seats, VEH-8030  , CUS-7046  
Dodge,Ram 1500,1997,JH4CU4F67DC862817,Mauv,94101.46,161474,used,manual,diesel,sedan,2.4,rear-wheel drive,leather seats, VEH-3831  , CUS-4118  
BMW,M5,2006,3GYFNBE39FS440580,Mauv,72621.61,46118,certified pre-owned,automatic,diesel,truck,4.3,all-wheel drive,sunroof, VEH-4734  , CUS-0429  
GMC,Yukon XL 2500,2012,KNALN4D71E5198883,Maroon,9039.99,4416,new,manual,electric,SUV,5.1,rear-wheel drive,sunroof, VEH-2924  , CUS-6836  
Chevrolet,Express 1500,2002,1G6DU6EV5A0423139,Fuscia,21014.03,65244,used,manual,diesel,coupe,5.7,rear-wheel drive,navigation system, VEH-6025  , CUS-6709  
Nissan,Pathfinder,2008,1G6DA8EG3A0051208,Violet,64304.29,160723,new,automatic,gasoline,truck,2.9,all-wheel drive,sunroof, VEH-6483  , CUS-9490  
Chevrolet,Silverado 1500,1999,KNAFX5A81E5292093,Orange,96592.32,17391,used,automatic,gasoline,SUV,3.8,all-wheel drive,leather seats, VEH-3814  , CUS-4794  
BMW,8 Series,1992,WP0AB2A86CU982595,Mauv,29745.93,195069,certified pre-owned,manual,gasoline,coupe,5.3,rear-wheel drive,leather seats, VEH-9079  , CUS-6303  
Dodge,Caravan,1997,SALAB2D41DA656160,Aquamarine,33257.09,120663,used,automatic,gasoline,truck,5.1,all-wheel drive,navigation system, VEH-5736  , CUS-6602  
Nissan,Xterra,2010,WA1WGBFP8EA164808,Turquoise,39532.44,32484,certified pre-owned,automatic,diesel,coupe,4.8,rear-wheel drive,sunroof, VEH-3448  , CUS-8557  
Porsche,911,2013,WBALM7C52BE815353,Violet,13697.39,188010,new,manual,gasoline,truck,3.2,all-wheel drive,leather seats, VEH-3651  , CUS-4783  
Ford,Explorer Sport Trac,2004,3GTXKYEJ7AG223013,Green,49144.38,169118,certified pre-owned,manual,diesel,SUV,1.3,rear-wheel drive,navigation system, VEH-1583  , CUS-2876  
Nissan,Altima,2010,WBAKE5C59CJ200093,Mauv,25284.12,180209,used,manual,electric,truck,2.3,all-wheel drive,sunroof, VEH-6209  , CUS-1997  
Chevrolet,3500,1997,WAUBNAFB6AN542102,Yellow,48648.03,10064,certified pre-owned,manual,diesel,coupe,2,front-wheel drive,leather seats, VEH-0120  , CUS-2708  
Mazda,B-Series Plus,1992,WBADT33452G964111,Pink,9020.53,29501,certified pre-owned,automatic,diesel,truck,2.8,front-wheel drive,navigation system, VEH-0683  , CUS-4254  
Jaguar,XJ,2007,2T3BF4DV4CW921433,Red,64908.32,82230,new,manual,electric,coupe,2,front-wheel drive,leather seats, VEH-6356  , CUS-0469  
Dodge,Neon,1997,JH4KB16527C303249,Khaki,82402.37,116518,new,automatic,gasoline,truck,4.4,all-wheel drive,sunroof, VEH-7477  , CUS-7534  
GMC,Envoy,1998,WA1WMBFE3FD785980,Purple,22760.51,62631,certified pre-owned,automatic,diesel,SUV,5.2,all-wheel drive,sunroof, VEH-4846  , CUS-5137  
Ford,Festiva,1993,WDCYC3HF6EX462186,Purple,96063.29,58718,used,automatic,electric,SUV,3.5,rear-wheel drive,leather seats, VEH-9496  , CUS-1869  
Holden,Monaro,2004,1GYS3AEF3CR666332,Yellow,72267.89,104169,certified pre-owned,manual,gasoline,sedan,2.4,front-wheel drive,navigation system, VEH-2429  , CUS-4873  
Ford,Econoline E150,1994,1N4AL3AP6EC457657,Aquamarine,91761.93,94062,new,manual,gasoline,sedan,3.6,front-wheel drive,sunroof, VEH-6465  , CUS-3902  
Oldsmobile,Aurora,1995,WBAEK13406C580990,Violet,75983.98,80080,certified pre-owned,manual,electric,coupe,4.5,front-wheel drive,navigation system, VEH-7224  , CUS-1718  
Honda,Odyssey,2003,WDDJK6FA6FF816286,Orange,91945.94,93803,certified pre-owned,automatic,electric,sedan,4.8,rear-wheel drive,heated seats, VEH-3694  , CUS-8215  
Mercedes-Benz,CLK-Class,2006,1GYS3JEF4BR591820,Indigo,80671.63,58845,certified pre-owned,automatic,electric,sedan,1.3,all-wheel drive,sunroof, VEH-1086  , CUS-8878  
Toyota,Yaris,2010,2G4GZ5GV1B9190799,Blue,66732.98,44028,used,automatic,gasoline,truck,2.7,all-wheel drive,navigation system, VEH-2808  , CUS-9954  
Ford,Bronco,1985,SCFEBBAC3AG406126,Goldenrod,22258.12,6660,new,manual,diesel,sedan,1,front-wheel drive,leather seats, VEH-4409  , CUS-0058  
Ford,Mustang,1997,2HNYD18204H635489,Fuscia,9576.67,105273,new,manual,diesel,coupe,3.4,rear-wheel drive,heated seats, VEH-2246  , CUS-5641  
Kia,Rio,2012,WAUR4AFD0DN154984,Turquoise,5392.85,34600,new,manual,diesel,coupe,2.2,all-wheel drive,heated seats, VEH-7207  , CUS-6608  
Cadillac,Seville,1993,3D4PG4FB5AT203807,Violet,15709.79,78236,certified pre-owned,automatic,electric,truck,6,rear-wheel drive,heated seats, VEH-5370  , CUS-3083  
Pontiac,Firebird,1988,WA1LGBFE3ED331284,Goldenrod,94149.86,19990,used,manual,diesel,coupe,3.2,front-wheel drive,sunroof, VEH-9575  , CUS-0086  
Dodge,Stealth,1994,5UXFE8C59AL866778,Khaki,17267.36,180596,certified pre-owned,automatic,gasoline,truck,5.1,all-wheel drive,navigation system, VEH-0055  , CUS-9626  
Audi,A4,2004,1N6AF0KX3EN620197,Goldenrod,58024.67,84986,new,automatic,gasoline,SUV,4.9,rear-wheel drive,sunroof, VEH-4928  , CUS-9053  
Mercedes-Benz,SL-Class,1999,JN8AZ1FY3EW810910,Aquamarine,56493.18,191776,used,automatic,electric,SUV,3.3,all-wheel drive,sunroof, VEH-0022  , CUS-4843  
Plymouth,Colt Vista,1992,1D7RW2BK2BS878817,Blue,14463.63,78879,new,automatic,diesel,truck,6,rear-wheel drive,navigation system, VEH-1853  , CUS-1502  
Dodge,Caliber,2010,1C4NJCBA2ED409529,Green,44310.91,108598,certified pre-owned,manual,diesel,SUV,2.2,front-wheel drive,leather seats, VEH-4029  , CUS-8280  
Mercedes-Benz,300D,1992,WBA8Z5C52FD022089,Teal,74477.03,19513,certified pre-owned,manual,gasoline,sedan,5.3,rear-wheel drive,heated seats, VEH-6032  , CUS-8044  
Buick,Rendezvous,2004,1G6DF8E59C0940954,Blue,96266.13,184130,certified pre-owned,manual,diesel,sedan,5.2,rear-wheel drive,navigation system, VEH-6715  , CUS-2922  
Mercedes-Benz,300E,1993,1C4AJWAG9EL806635,Turquoise,62045.27,181913,certified pre-owned,manual,diesel,coupe,5.4,all-wheel drive,leather seats, VEH-6431  , CUS-9888  
Land Rover,Discovery,1994,WAUSF78K89N826663,Goldenrod,66839.39,86881,certified pre-owned,manual,diesel,truck,1.8,rear-wheel drive,leather seats, VEH-9641  , CUS-5934  
Suzuki,Daewoo Lacetti,2004,SALFR2BN9CH519938,Pink,60152.14,42241,new,manual,diesel,SUV,2.5,front-wheel drive,sunroof, VEH-9121  , CUS-3831  
Lexus,LX,2006,1GKS1FEJ7CR437685,Purple,77981.06,159575,certified pre-owned,manual,gasoline,sedan,2.4,front-wheel drive,heated seats, VEH-7395  , CUS-6622  
Chevrolet,Corvette,2005,JN1CV6AP0CM486158,Violet,48269.88,64955,certified pre-owned,manual,diesel,truck,4.2,front-wheel drive,sunroof, VEH-6494  , CUS-4352  
Aston Martin,Vantage,2009,1N6AD0CU3DN865235,Maroon,71250.57,108544,new,automatic,diesel,coupe,2.2,front-wheel drive,leather seats, VEH-6778  , CUS-0334  
Dodge,Durango,2005,1N6AD0CW0FN878500,Fuscia,35643.83,33397,new,automatic,electric,coupe,2,all-wheel drive,leather seats, VEH-9226  , CUS-5368  
Volkswagen,Jetta,2003,1FTNS1EW7AD418288,Mauv,27131.14,139919,new,manual,diesel,sedan,3.2,all-wheel drive,navigation system, VEH-2593  , CUS-0312  
Pontiac,Sunfire,2004,WAU4GBFB6BN094339,Green,73285.8,78139,used,automatic,diesel,coupe,5.2,front-wheel drive,heated seats, VEH-5747  , CUS-6294  
Cadillac,XLR,2006,WAUBF78E38A928470,Pink,40396.23,179892,used,automatic,diesel,sedan,1.6,all-wheel drive,leather seats, VEH-0592  , CUS-1515  
BMW,M6,2007,1G6DS5EV1A0423154,Khaki,9327.7,63803,new,manual,diesel,coupe,5,all-wheel drive,sunroof, VEH-5156  , CUS-3747  
Chevrolet,Suburban 2500,1992,WA1TFAFLXEA536596,Mauv,52941.08,180929,used,automatic,diesel,coupe,5.5,front-wheel drive,navigation system, VEH-4505  , CUS-0465  
Hummer,H3,2007,KNAGM4AD4D5524673,Teal,55189.61,59689,new,automatic,diesel,sedan,1.9,all-wheel drive,sunroof, VEH-6507  , CUS-6871  
Mercedes-Benz,C-Class,2008,3VW217AU9FM855055,Mauv,46431.76,84318,new,manual,electric,sedan,5.1,all-wheel drive,heated seats, VEH-1968  , CUS-0419  
Audi,Coupe Quattro,1991,1FTEW1CW8AK018243,Purple,6712.37,78247,certified pre-owned,automatic,electric,sedan,2,front-wheel drive,heated seats, VEH-5664  , CUS-4073  
Toyota,Echo,2001,WDDEJ9EB0DA538284,Goldenrod,85751.12,8181,new,manual,electric,sedan,3.4,rear-wheel drive,leather seats, VEH-1727  , CUS-7605  
Mercedes-Benz,SL-Class,1984,WUARL48H67K025258,Mauv,86236.94,84967,used,manual,electric,sedan,5.9,rear-wheel drive,leather seats, VEH-1637  , CUS-8448  
Toyota,Land Cruiser,1996,1G6DA1ED2B0235053,Green,85278.79,168519,used,automatic,electric,truck,2,front-wheel drive,navigation system, VEH-7438  , CUS-0680  
Jeep,Compass,2011,JTHKD5BH8C2350755,Mauv,71610.28,131691,certified pre-owned,manual,electric,coupe,1.2,all-wheel drive,leather seats, VEH-1033  , CUS-0148  
Mazda,Tribute,2001,2G4GV5EVXB9964384,Red,98420.65,92465,certified pre-owned,automatic,gasoline,coupe,2.8,front-wheel drive,sunroof, VEH-8244  , CUS-1369  
Nissan,370Z,2010,19UUA66245A273746,Goldenrod,18180.96,195083,used,automatic,gasoline,coupe,2.7,front-wheel drive,navigation system, VEH-1891  , CUS-8608  
Toyota,Tundra,2004,WAUHE78P59A925246,Yellow,24341.31,44470,used,automatic,electric,coupe,5.1,rear-wheel drive,navigation system, VEH-4830  , CUS-8945  
Ford,Expedition,1998,KMHCT4AE9EU625630,Yellow,21842.74,183347,certified pre-owned,automatic,gasoline,truck,4,rear-wheel drive,sunroof, VEH-2224  , CUS-9724  
Infiniti,EX,2012,2C3CDXBG4EH261854,Crimson,64648.77,114616,certified pre-owned,manual,electric,SUV,4.3,front-wheel drive,heated seats, VEH-4546  , CUS-7782  
Chevrolet,Express 1500,1999,1GD21ZCG3BZ306185,Fuscia,67475.54,39483,new,manual,electric,SUV,4.3,all-wheel drive,navigation system, VEH-5603  , CUS-3935  
Land Rover,Discovery,2001,1G6DK5E36D0271651,Crimson,72514.83,62203,new,manual,electric,SUV,4.7,all-wheel drive,navigation system, VEH-4633  , CUS-7235  
Mercedes-Benz,500SL,1993,JTHBL1EF5B5742949,Turquoise,48541.53,139007,certified pre-owned,automatic,gasoline,coupe,1.4,front-wheel drive,navigation system, VEH-0893  , CUS-9483  
Mazda,Tribute,2001,WAUJC58E45A447194,Maroon,99071.93,62162,used,automatic,diesel,truck,3.4,rear-wheel drive,sunroof, VEH-0213  , CUS-7890  
Saab,3-Sep,2010,WAUAH98EX8A394031,Violet,41902.67,50284,new,automatic,electric,sedan,1.7,all-wheel drive,navigation system, VEH-3416  , CUS-5817  
Honda,Odyssey,1999,1C4RDHAG9FC384261,Blue,78030.16,126055,certified pre-owned,manual,gasoline,truck,5.3,all-wheel drive,navigation system, VEH-3330  , CUS-4123  
Maybach,57,2008,1D7CE2GK6AS903637,Blue,51708.59,186343,used,manual,diesel,sedan,4.6,all-wheel drive,leather seats, VEH-5866  , CUS-1987  
Volkswagen,rio,1997,JH4CL96828C331807,Aquamarine,59439.46,160979,certified pre-owned,automatic,diesel,truck,3,rear-wheel drive,leather seats, VEH-4179  , CUS-1795  
Mitsubishi,Tundra,2009,WA1FFCFS8FR306493,Green,47910.21,111461,new,manual,diesel,SUV,2.6,rear-wheel drive,navigation system, VEH-8738  , CUS-3190  
Dodge,Ram 2500 Club,1998,WAUMGAFL2BA997047,Turquoise,89646.99,175598,used,manual,electric,SUV,4.1,front-wheel drive,leather seats, VEH-5104  , CUS-3041  
Saab,9000,1990,WDDGF5EB2AF937926,Khaki,88527.46,82249,certified pre-owned,automatic,electric,SUV,3.3,rear-wheel drive,leather seats, VEH-4328  , CUS-6590  
Cadillac,CTS-V,2007,SCBCR63W15C463831,Orange,25476.96,146400,certified pre-owned,automatic,electric,coupe,4.4,front-wheel drive,leather seats, VEH-4561  , CUS-6938  
Mazda,Miata MX-5,2011,3N1CN7AP3EL170739,Green,96224.55,108677,new,manual,electric,truck,1.7,all-wheel drive,leather seats, VEH-4434  , CUS-0536  
GMC,Sierra 1500,2007,1N6AA0CJ4DN173306,Maroon,13966.47,114667,new,manual,electric,truck,5.1,all-wheel drive,leather seats, VEH-6359  , CUS-6233  
Dodge,Dakota Club,1996,WVGAV7AX2AW976611,Puce,57728.78,146589,new,automatic,gasoline,sedan,3.2,front-wheel drive,heated seats, VEH-5595  , CUS-1746  
